Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО ""Воронежспецстрой""";"Общество с ограниченной ответственностью ""Воронежспецстрой""";ООО;3662074634;363101001;;;ЮЛ;396837, Воронежская область, Хохольский район, с. Петино, ул. Советская, 1 б;Да;Нет;;;;;;;
"ООО ""АСТУР""";"ООО ""АСТУР""";ООО;3662076078;366201001;;;ЮЛ;394077, г. Воронеж, Б. Победы, 3-121;Да;Нет;;;;;;;
"ГУЗ ""Советская городская больница""";"ГУЗ ""Советская городская больница""";;7118017210;711801001;;;ЮЛ;301205, Тульская область, Щекинский район, г.Советск, ул.Комсомольская, д.19;Да;Нет;;;;;;;
УФК по Орловской области л\сч40703845202(БУЗ Ливенская ЦРБ л\сч 03543004690;УФК по Орловской области л\сч40703845202(МУЗ Ливенская ЦРБ л\сч 03543004690;;5702003139;570201001;;;ЮЛ;303850 Орловская обл., г.Ливны, ул.Кап. Филиппова, д.64А;Да;Нет;;;;;;;
"Частное учреждение дополнительного профессионального образования ""Учебный центр ПрофКомХоз""";"Частное учреждение дополнительного профессионального образования ""Учебный центр ПрофКомХоз""";;7118001322;710701001;;;ЮЛ;300041, г.Тула, ул.Войкова, д.2/5;Да;Нет;;;;;;;
УФК по Тульской обл. (КИЗО администрации МО город Алексин);Комитет имущественных и земельных отношений МО Алексинский район;;7111019715;711101001;;;ЮЛ;301361, г.Алексин, ул.Героев Алексинцев, д.10;Да;Нет;;;;;;;
"ООО ""Объединение ""Хозторг""";"ООО ""Объединение ""Хозторг""";ООО;3665027791;366501001;;;ЮЛ;394038 г.Ворорнеж ул.Холмистая д.68;Да;Нет;;;;;;;
"ООО ""Курская телефонная компания""";"Открытое акционерное общество ""Курская телефонная компания""";ООО;4632193548;463201001;;;ЮЛ;305021, г. Курск, ул. Карла Маркса, д. 70 Б, литер А2;Да;Нет;;;;;;;
"Негосударственное образовательное учреждение ""Учебно-производственный центр ""ВИРМАЙН""""";"Негосударственное образовательное учреждение ""Учебно-производственный центр ""ВИРМАЙН""""";;7106057345;710601001;;;ЮЛ;300057, г.Тула, ул.Пузакова, д.20;Да;Нет;;;;;;;
"ОАО ""ЦентрТелеком "" Курский филиал";"ОАО ""ЦентрТелеком"", Курский филиал";ООО;5000000970;463202001;;;ЮЛ;305000 г. Курск, Красная площадь, д.8;Да;Нет;;;;;;;
"ОАО ""Тяжмехпресс""";"ОАО ""Тяжмехпресс""";ООО;3662118923;366750001;;;ЮЛ;394026 г. Воронеж, ул. Солнечная, 31;Да;Нет;;;;;;;
"ФБУ ""Тульский центр стандартизации, метрологии и сертификации""";"ФБУ ""Тульский центр стандартизации, метрологии и сертификации""";;7106002804;710601001;;;ЮЛ;300028 г.Тула, ул. Болдина, д.91;Да;Нет;;;;;;;
"ООО ""НПО ""Пружинный завод""";"ООО ""НПО ""Пружинный завод""";ООО;7811401528;780201001;;;ЮЛ;194100 г. Санкт-Петербург, ул. Новолитовская, 16 Литер А;Да;Нет;;;;;;;
"ФГБУ ""Тульский центр по гидрометеорологии и мониторингу окружающей среды""";"ФГБУ ""Тульский центр по гидрометеорологии и мониторингу окружающей среды""";;7105015367;710501001;;;ЮЛ;3000031, г. Тула, ул. Приупская, д.1а;Да;Нет;;;;;;;
"ООО ""Шинторг""";"ООО ""Шинторг""";ООО;3663043212;366301001;;;ЮЛ;394028 г.Воронеж ул.Волгоградская,44;Да;Нет;;;;;;;
"ООО ТД ""СтройСантехКомплект""";"ООО ТД ""СтройСантехКомплект""";ООО;3662093789;366201001;;;ЮЛ;394049 г. Воронеж, Рабочий проспект, 101, офис 404;Да;Нет;;;;;;;
"ООО ""Веб Маркет""";"ООО ""Веб Маркет""";ООО;5610079258;561001001;;;ЮЛ;г.Оренбург, ул. Ленинская,39;Да;Нет;;;;;;;
"ООО Торговый дом ""Детали трубопроводов""";"ООО Торговый дом ""Детали трубопроводов""";ООО;6672276177;667201001;;;ЮЛ;620075, г. Екатеринбург, ул. Восточная, дом №68, к. № 16;Да;Нет;;;;;;;
"УФПС Белгородской области -ф-л ФГУП ""Почта России""";"УФПС Белгородской области -ф-л ФГУП ""Почта России""";ФГУП;7724261610;312631001;;;ЮЛ;308000 г Белгород пл. Революции (Соборная) пл, дом 3;Да;Нет;;;;;;;
"ЗАО ""Полиграфия и коммуникации""";"ЗАО ""Полиграфия и коммуникации""";ЗАО;3123036860;312301001;;;ЮЛ;г.Белгород, ул.Белгородского полка,65;Да;Нет;;;;;;;
"ООО ""Электрощит-Черноземье""";"ООО ""Электрощит-Черноземье""";ООО;3123188742;312301001;;;ЮЛ;308036, г. Белгород, ул. Б. Хмельницкого, д. 131;Да;Нет;;;;;;;
Агропромсинтез ЗАО;Агропромсинтез ЗАО;ЗАО;0275044066;027501001;;;ЮЛ;455049, Челябинская обл.,      г. Магнитогорск, ул. Доменщиков, д. 25-5,;Да;Нет;;;;;;;
"ООО ""Деловая резина""";"ООО ""Деловая резина""";ООО;3666109165;366301001;;;ЮЛ;394029 г.Воронеж ул.Ленинский проспект д.15;Да;Нет;;;;;;;
"ООО ""Виннер""";"ООО ""Виннер""";ООО;3628006909;362801001;;;ЮЛ;396900 Воронежская обл.г.Семилуки ул.Чапаева 29,корп 2,оф.6;Да;Нет;;;;;;;
УФК по Орловской области (ТУ Росимущества в Орловской области);Территориальное управление Федерального агентства по управлению государственным имуществом по Орловской области;;5751037525;575201001;;;ЮЛ;302030, г. орел, ул. Набережная Дубровинского, 70;Да;Нет;;;;;;;
"ГОУ ДПО ""Новомосковский ИПК руководящих работников и специалистов химической промышленности""";"ГОУ ДПО ""Новомосковский институт повышения квалификации руководящих работников и специалистов химической промышленности""";;7116001528;711601001;;;ЮЛ;301650, г.Новомосковск, Тульская область, ул.Дзержинского, 21;Да;Нет;;;;;;;
"ООО НПК ""НОРМА""";"ООО НПК ""НОРМА""";ООО;7721514439;772101001;;;ЮЛ;109377 г.Москва ул. 4-я Новокузьминская д.12 стр.1;Да;Нет;;;;;;;
"ООО ""АРТОН""";Артон ООО;ООО;7107072522;710501001;;;ЮЛ;300016, г. Тула, ул. Пржевальского, д. 11;Да;Нет;;;;;;;
"ООО ""ЕМВ Трейд Фильтр""";"ООО ""ЕМВ Трейд Фильтр""";ООО;7720568270;772001001;;;ЮЛ;111141 г.Москва ул.Электродная д. 2 стр. 12-13-14;Да;Нет;;;;;;;
"ЗАО ""Гидромашсервис""";"ЗАО ""Гидромашсервис""";ЗАО;7733015025;570231001;;;ЮЛ;127006 г.москва,ул.Долгоруковская,д.31,стр.32;Да;Нет;;;;;;;
"Воронежский филиал ООО ""Центр аварийно-спасательных и экологических операций""";"Воронежский филиал ООО ""Центр аварийно-спасательных и экологических операций""";ООО;5072722413;366202001;;;ЮЛ;394068 г. Воронеж, ул. Беговая, д.55, к.4;Да;Нет;;;;;;;
Воронежская водолазная школа РОСТО (ДОСААФ);Воронежская водолазная школа РОСТО (ДОСААФ);;3661007480;366101001;;;ЮЛ;РФ, 394042, г. Воронеж, ул. Набережная, д. 15;Да;Нет;;;;;;;
"МКП городского округа г. Воронеж ""Технический водозабор""";"МКП городского округа г. Воронеж ""Технический водозабор""";;3664087325;366401001;;;ЮЛ;РФ, 394018, г. Воронеж, ул. Куколкина, д. 3;Да;Нет;;;;;;;
"ООО ""ВНП-карт""";"ООО ""ВНП-карт""";ООО;3664065716;366401001;;;ЮЛ;394006 г.Воронеж,ул.Кирова,4;Да;Нет;;;;;;;
"ОАО ""Завод железобетонных изделий N2""";"ОАО ""Завод железобетонных изделий №2""";ООО;3665003007;366501001;;;ЮЛ;394038 г.Воронеж,ул.Дорожная,13;Да;Нет;;;;;;;
"ЗАО ""Семилукский комбинат строительных материалов""";"ЗАО ""Семилукский комбинат строительных материалов""";ЗАО;3628000103;362801001;;;ЮЛ;Воронежская обл.г.Семилуки,пер.Заводской д.3;Да;Нет;;;;;;;
"ООО ЦПИП ""Генезис-Центр""";ЦПИП Генезис-Центр, ООО;ООО;7701313170;770101001;;;ЮЛ;107005, г. Москва, ул.Бауманская, д. 44, стр. 1;Да;Нет;;;;;;;
"ЗАО ""Барнаульский Котельный Завод""";"ЗАО ""Барнаульский Котельный Завод""";ЗАО;2221057827;222401001;;;ЮЛ;656023, Алтайский край, г.Барнаул, пр-т Космонавтов, 6Э;Да;Нет;;;;;;;
"МУ ""РайДЕЗ ЖКХ Коминтерновского района"" г. Воронеж";"МУ ""РайДЕЗ ЖКХ Коминтерновского района"" г. Воронеж";;3662068800;366201001;;;ЮЛ;394005, г. Воронеж, ул. Вл. Невского, д.73;Да;Нет;;;;;;;
"ООО ""Комета-П""";"ООО ""Комета-П""";ООО;3444020981;344401001;;;ЮЛ;400131 г. Волгоград, ул. Советская, 28-30;Да;Нет;;;;;;;
"ЗАО ПФК ""Лозанна""";"ЗАО ПФК ""Лозанна""";ЗАО;3666035971;366601001;;;ЮЛ;394030 г. Воронеж, ул. Урицкого, 82;Да;Нет;;;;;;;
"ОАО ""Белоозёрский энергомеханический завод""";"Открытое акционерное общество ""Белоозёрский энергомеханический завод""";ООО;0000000000;000000000;;;ЮЛ;Республика Беларусь 225215 Брестская область, Березовский район, г. Белозерск, ул. Заводская, 1;Да;Нет;;;;;;;
"ООО ""Корда""";"ООО ""Корда""";ООО;7811338026;781101001;;;ЮЛ;"г.Санкт-Перербург, ул.Народная, 15 лит ""Д"",помещение 1Н";Да;Нет;;;;;;;
"ООО ""Энергозапчасть""";"ООО ""Энергозапчасть""";ООО;6143052150;614301001;;;ЮЛ;347382 Ростовская область, г. Волгодонск, а/я 1116;Да;Нет;;;;;;;
"ООО ""ТЕХНО-АС""";"ООО ""ТЕХНО-АС""";ООО;5022019621;502201001;;;ЮЛ;102402, Московская обл., г. Коломна, ул. Октябрьской Революции, 406;Да;Нет;;;;;;;
"ОАО ""Автобаза №9""";"ОАО ""Автобаза №9""";ООО;3663001075;366301001;;;ЮЛ;РФ, г. Воронеж, ул. Чебышева, д. 36;Да;Нет;;;;;;;
"ООО ""ГРУППА КОМПАНИЙ ТРАНССЕРВИС""";"ООО ""ГруппакомпанийТрансервис""";ООО;7103019493;710301001;;;ЮЛ;300024г.Тула,ул.Демидовская,д.22;Да;Нет;;;;;;;
"ООО ""Союзминерал""";"ООО ""Союзминерал""";ООО;6440020136;644001001;;;ЮЛ;412300 Саратовская обл.г.Балашов,ул.Советская,д.173 ,к.7;Да;Нет;;;;;;;
"ЗАО ""ФАРМ""";"ЗАО ""ФАРМ""";ЗАО;7701019588;623044001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Российские железные дороги""";"Открытое акционерное общество ""Российские железные дороги""";ООО;7708503727;997650001;;;ЮЛ;107174, г.Москва, ул.Басманная, д.2;Да;Нет;;;;;;;
"ООО ""СМУ ""РУБЕЖ СВ""";"ООО СМУ ""Рубеж СВ""";ООО;7106040870;710601001;;;ЮЛ;г. Тула, ул. Болдина, д. 47;Да;Нет;;;;;;;
"филиал ПАО ""Квадра"" - ""Воронежская генерация""";"филиал ПАО ""Квадра"" - ""Воронежская генерация""";ПАО;6829012680;366302001;;;ЮЛ;ул. Тимирязева, дом № 99в, г. Тула, Тульская обл., РФ, 300012;Да;Нет;;;;;;;
"филиал ПАО ""Квадра"" - ""Центральная генерация""";"филиал ПАО ""Квадра"" - ""Центральная генерация""";ПАО;6829012680;710702001;1056882304489;;ЮЛ;ул. Тимирязева, дом 99в, г.Тула, Тульская область, Российская Федерация, 300012;Да;Нет;;;;;;;
"АО ""Газпром газораспределение Орел""";"филиал АО ""Газпром газораспределение Орел"" в г.Орле";АО;5700000020;575302001;;;ЮЛ;302020, г. Орел, Наугорское шоссе, 17;Да;Нет;;;;;;;
"ООО ""Рейбис""";"ООО ""Рейбис""";ООО;3662062854;366201001;;;ЮЛ;394005, г. Воронеж, ул. Вл. Невского, д.53;Да;Нет;;;;;;;
"ООО ""Газпром межрегионгаз Воронеж""";"ООО ""Газпром межрегионгаз Воронеж""";ООО;3650004897;366750001;;;ЮЛ;г.Воронеж, пер. Красноармейский, д.12-А;Да;Нет;;;;;;;
